# Data from von Bohlen und Halbach and Dermietzel 2006 via Sandberg and Bostrom 2008 (whole brain emulation). Year of discovery is approximate. Classification as a transmitter is based on the von Bohlen und Halback book.

Discovery (approx),Neuroactive Substance,Google Scholar for '* neurons',Full/alternative/relateds,isNeurotransmitter
1933,Acetylcholine,504000,,1
1935,Prostaglandin,29000,Eicosanoids/Arachidonic Acid,0
1943,Interleukins,375000,,0
1945,Noradrenaline,180000,Norepinephrine ,1
1954,Oxytocin,81300,Vasopressin,0
1955,ACTH,86500,Adrenocorticotropic Hormone,0
1955,CRF,55100,Corticotropin Releasing Factor,0
1956,GABA,886000,,1
1959,Glutamate,1430000,,1
1960,Serotonin,916000,,1
1961,Calcitonin,83900,,0
1962,Angiotensin,155000,,0
1964,Dopamine,1480000,,1
1965,Glycine,307000,,1
1969,TRH,34600,Thyrotropin-Releasing Hormone,0
1971,GnRH,48600,Gonadotropin-Releasing Hormone,0
1971,Substance P,426000,,0
1972,Somatostatin,146000,,0
1973,Enkephalin,83700,,0
1973,Neurotensin,47000,,0
1975,Histamine,117000,,1
1975,CCK,89900,Cholecystokinin,0
1975,Endorphin,69500,,0
1975,VIP,64400,Vasoactive Intestinal Polypeptide,0
1977,Adenosine,397000,,0
1979,Dynorphin,37100,,0
1981,NPY,118000,Neuropeptide Y,0
1982,GHRH,14000,Growth-Hormone-Releasing Hormone,0
1983,Bombesin,22900,,0
1983,Galanin,33200,,0
1983,MCH,16400,Melanin Concentrating Hormone,0
1984,ANF,12000,Atrial Natriuretic Factor,0
1986,FGF,176000,Fibroblast Growth Factors,0
1989,NO,777000,Nitric Oxide,0
1989,PACAP,20600,Pituitary Adenylate Cyclase-activating Polypeptide,0
1993,Apelin,4430,,0
1994,Endocannabinoids,39000,Anandamide,0
1994,Nociceptin,10900,,0
1996,NPFF,2710,Neuropeptide FF,0
1998,Orexin,33000,Hypocretin,0
2001,Kisspeptin,9800,,0
2002,Ghrelin,34700,,0

